title,year,mileage,price,location,transmission,enginePower,color,model,engineCapacity,fuelType,painted,changed,paintedCount,changedCount
GALERİ SEYDO 'dan HONDA CİVİC 1.4 is temiz bakımlı,1997,450.000,230.000 TL,"İstanbul, Avcılar",Düz,90 hp,Yeşil,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk","Motor Kaputu; Sol Ön Çamurluk",9,2
2011 HONDA CİVİC 1.4 100HP OTOMATİK HATASIZ TRAMERSİZ,2011,214.000,575.000 TL,"İzmir, Aliağa",Otomatik,76 - 100 HP,Siyah,1.4 Comfort,1201 - 1400 cm3,Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1997 Model,1997,375.000,395.000 TL,"Amasya, Merkez",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,Motor Kaputu,0,1
Sahibinden Honda Civic 1.4 i S 2001 Model,2001,301.000,400.000 TL,"Osmaniye, Kadirli",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,270.000,390.000 TL,"Osmaniye, Merkez",Otomatik,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,"Arka Kaput; Motor Kaputu",Sağ Ön Çamurluk,2,1
OTOMATİK SORUNSUZ HONDA CİVİC 99 MODEL,1999,335.000,332.900 TL,"Kocaeli, Derince",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,,0,0
HONDA HAYAT ONDA,1998,298.000,352.000 TL,"Çanakkale, Ezine",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sol Ön Çamurluk; Ön Tampon; Arka Tampon","Sağ Ön Çamurluk; Motor Kaputu",11,2
Sahibinden Honda Civic 1.4 i S 2000 Model,2000,313.000,400.000 TL,"Bursa, Osmangazi",Otomatik,90 hp,Kırmızı,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk; Ön Tampon; Arka Tampon",,13,0
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,288.000,300.000 TL,"İstanbul, Maltepe",Düz,90 hp,Mavi,1.4 i S,1396 cc,LPG & Benzin,,,0,0
Hazır kurulu   Honda Civic 1.4 Sport,2013,207.000,600.000 TL,"İzmir, Foça",Düz,100 hp,Beyaz,1.4 Sport,1339 cc,Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Sol Ön Çamurluk",,9,0
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,312.000,338.000 TL,"Ankara, Pursaklar",Düz,90 hp,Yeşil (metalik),1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Ön Tampon; Arka Tampon","Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",10,3
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,320.000,365.000 TL,"İstanbul, Esenyurt",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,Sol Arka Çamurluk,,1,0
Sahibinden Honda Civic 1.4 1.4i 1998 Model,1998,298.000,350.000 TL,"Ankara, Çankaya",Otomatik,,Füme,1.4 1.4i,,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 S 1997 Model,1997,444.000,185.000 TL,"Diyarbakır, Ergani",Düz,90 hp,Gri,1.4 S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk; Ön Tampon; Arka Tampon",,13,0
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,250.000,435.000 TL,"Şanlıurfa, Bozova",Düz,90 hp,Gri,1.4 i S,1396 cc,Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sol Ön Çamurluk",Sağ Ön Çamurluk,7,1
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,340.000,380.000 TL,"Afyonkarahisar, İhsaniye",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,Sol Ön Kapı,0,1
DEĞİŞENSİZ-MASRAFSIZ-OTOMATİK-EKSTRALI,2009,234.000,538.000 TL,"Ordu, Altınordu",Otomatik,76 - 100 HP,Füme,1.4 Sport,1201 - 1400 cm3,Benzin,,,0,0
GÜVEN'DEN OTOMATİK CİVİC,1997,187.000,400.000 TL,"İzmir, Urla",Otomatik,76 - 100 HP,Kırmızı,1.4 i S,1401 - 1600 cm3,LPG & Benzin,,,0,0
YEŞİL AUTO'dan 1997 HONDA-CİVİC-1.4-SUNROOFLU-BAKIMLI,1997,251.000,295.000 TL,"Rize, Merkez",Düz,90 hp,Yeşil,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",,10,0
SON FİYAT Honda Civic 1.4 i S 2001 Model  otomatik,2001,309.000,440.000 TL,"İstanbul, Gaziosmanpaşa",Otomatik,,Şampanya,1.4 i S,,LPG & Benzin,"Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı","Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk; Ön Tampon",4,5
